index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,accuracy,f1-score
88,1e-05,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5,0.5166666666666666,
89,1e-05,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.75,0.7,
90,1e-05,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
91,1e-05,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.8166666666666667,
92,1e-05,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
93,1e-05,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
94,1e-05,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7916666666666666,
95,1e-05,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
96,1e-05,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
97,1e-05,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.6875,0.6583333333333333,
98,1e-05,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
99,1e-05,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
100,1e-05,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
101,1e-05,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
102,1e-05,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
103,1e-05,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7499999999999999,
104,1e-05,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7083333333333333,
105,1e-05,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
