index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
42,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,24.711480259895325,3.9000884890556335,4.5780268907547,-18.089641392230988,
43,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.751535058021545,3.667548894882202,3.893224835395813,-8.791346251964569,
44,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,22.509253561496735,3.204865515232086,4.338760018348694,-3.631494790315628,
45,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.59907341003418,3.2323325276374817,3.810333788394928,-13.107496500015259,
46,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,9.483681917190552,2.552444875240326,3.0439648032188416,-19.37033838033676,
47,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,16.608762979507446,3.4285484552383423,4.012724339962006,-53.98627012968063,
48,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,25.481844663619995,3.8896853923797607,4.662032425403595,-10.454120218753815,
49,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,17.67961859703064,3.9014899134635925,4.1246126890182495,-6.822879910469055,
50,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,19.859896421432495,3.0619176030158997,4.026404798030853,-10.34179338812828,
51,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.481699228286743,3.500896394252777,3.8962798714637756,-17.591129958629608,
52,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.375426530838013,2.8470519483089447,3.16741406917572,-18.99893993139267,
53,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,17.212732076644897,3.607327699661255,4.054152309894562,-19.39360022544861,
54,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.481844663619995,3.8896853923797607,4.662032425403595,-10.454120218753815,
55,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,17.67961859703064,3.9014899134635925,4.1246126890182495,-6.822879910469055,
56,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,19.86111092567444,3.1099230647087097,4.019417583942413,-4.627969890832901,
