Frame,Speed,X,Y,Changed Pixels
79,0.1488760979413735,557.6666666666666,215.92022792022792,2
80,0.0,557.6666666666666,215.92022792022792,0
81,0.03809446960744626,557.6798866855524,215.90651558073654,2
82,0.0,557.6798866855524,215.90651558073654,0
83,0.38433191406001266,557.8347338935574,215.79271708683473,4
84,0.6564015310750879,557.5718157181572,215.98915989159892,18
85,0.17010682738734476,557.6449864498645,215.94579945799458,8
86,0.12572919005571714,557.7076502732241,215.95081967213116,9
87,0.14735073410818392,557.6446280991736,215.98898071625345,5
88,0.09320197051151577,557.6602739726028,216.03287671232877,8
89,0.13029428630921355,557.6098901098901,216.07417582417582,1
90,0.03066877905848877,557.620218579235,216.06284153005464,4
91,0.14925136922125282,557.688524590164,216.0327868852459,2
92,0.12399718903980773,557.741144414169,216.0,1
93,0.01862750057415296,557.7322404371585,216.00273224043715,1
94,0.13160212654422712,557.775956284153,215.95355191256832,2
95,0.23396082548247732,557.875,215.8913043478261,2
96,0.329383016663934,557.8473684210526,215.72894736842105,14
97,0.041230253296414554,557.8275862068965,215.73474801061008,3
98,0.08959371984924369,557.8723404255319,215.73670212765958,3
99,0.0814944081791323,557.9013333333334,215.76533333333333,3
100,0.2132833987660648,557.8069705093834,215.81501340482575,2
101,0.0,557.8069705093834,215.81501340482575,0
102,0.22919106027516592,557.7886178861788,215.7018970189702,8
103,0.03476051291420309,557.7765667574932,215.68937329700273,2
104,0.05490381951200304,557.7868852459017,215.6639344262295,1
105,0.1396386047998235,557.8224043715848,215.60382513661202,2
106,0.07723961668704862,557.8233695652174,215.56521739130434,4
107,0.0,557.8233695652174,215.56521739130434,0
108,0.8130330217775089,558.0833333333334,215.252688172043,10
109,0.35376997159650336,557.9701086956521,215.38858695652175,6
110,0.3118527962445839,557.9351351351352,215.54054054054055,6
111,0.08443513163132997,557.9621621621621,215.57297297297296,6
112,0.22619158859677888,558.0461956521739,215.49728260869566,6
113,0.07626490284657499,558.0080862533692,215.49595687331535,7
114,0.23142848934241803,558.1069518716578,215.43582887700535,5
115,0.23680262153389478,558.002688172043,215.49193548387098,2
116,0.0,558.002688172043,215.49193548387098,0
